,Country Name
0,World
1,East Asia & Pacific
2,Europe & Central Asia
3,High income
4,Latin America & Caribbean
5,Middle East & North Africa
6,South Asia
7,Sub-Saharan Africa
8,Afghanistan
9,Albania
10,Algeria
11,American Samoa
12,Andorra
13,Angola
14,Antigua and Barbuda
15,Argentina
16,Armenia
17,Australia
18,Austria
19,Azerbaijan
20,Bahrain
21,Bangladesh
22,Barbados
23,Belarus
24,Belgium
25,Belize
26,Benin
27,Bermuda
28,Bhutan
29,Bolivia
30,Bosnia and Herzegovina
31,Botswana
32,Brazil
33,Brunei Darussalam
34,Bulgaria
35,Burkina Faso
36,Burundi
37,Cambodia
38,Cameroon
39,Canada
40,Cabo Verde
41,Central African Republic
42,Chad
43,Chile
44,China
45,Colombia
46,Comoros
47,"Congo, Rep."
48,Costa Rica
49,Croatia
50,Cuba
51,Cyprus
52,Czechia
53,Denmark
54,Djibouti
55,Dominica
56,Dominican Republic
57,Ecuador
58,"Egypt, Arab Rep."
59,El Salvador
60,Equatorial Guinea
61,Eritrea
62,Estonia
63,Ethiopia
64,Fiji
65,Finland
66,France
67,Gabon
68,Georgia
69,Germany
70,Ghana
71,Greece
72,Greenland
73,Grenada
74,Guam
75,Guatemala
76,Guinea
77,Guinea-Bissau
78,Guyana
79,Haiti
80,Honduras
81,Hungary
82,Iceland
83,India
84,Indonesia
85,"Iran, Islamic Rep."
86,Iraq
87,Ireland
88,Israel
89,Italy
90,Jamaica
91,Japan
92,Jordan
93,Kazakhstan
94,Kenya
95,Kiribati
96,Kuwait
97,Kyrgyz Republic
98,Lao PDR
99,Latvia
100,Lebanon
101,Lesotho
102,Liberia
103,Libya
104,Lithuania
105,Luxembourg
106,North Macedonia
107,Madagascar
108,Malawi
109,Malaysia
110,Maldives
111,Mali
112,Malta
113,Marshall Islands
114,Mauritania
115,Mauritius
116,Mexico
117,Moldova
118,Monaco
119,Mongolia
120,Montenegro
121,Morocco
122,Mozambique
123,Myanmar
124,Namibia
125,Nauru
126,Nepal
127,Netherlands
128,New Zealand
129,Nicaragua
130,Niger
131,Nigeria
132,"Korea, Dem. People's Rep."
133,Northern Mariana Islands
134,Norway
135,Oman
136,Pakistan
137,Palau
138,West Bank and Gaza
139,Panama
140,Papua New Guinea
141,Paraguay
142,Peru
143,Philippines
144,Poland
145,Portugal
146,Puerto Rico
147,Qatar
148,Romania
149,Russian Federation
150,Rwanda
151,St. Kitts and Nevis
152,St. Lucia
153,Samoa
154,San Marino
155,Sao Tome and Principe
156,Saudi Arabia
157,Senegal
158,Serbia
159,Seychelles
160,Sierra Leone
161,Singapore
162,Slovak Republic
163,Slovenia
164,Solomon Islands
165,Somalia
166,South Africa
167,"Korea, Rep."
168,South Sudan
169,Spain
170,Sri Lanka
171,Sudan
172,Suriname
173,Eswatini
174,Sweden
175,Switzerland
176,Syrian Arab Republic
177,Tajikistan
178,Tanzania
179,Thailand
180,"Bahamas, The"
181,"Gambia, The"
182,Timor-Leste
183,Togo
184,Tonga
185,Trinidad and Tobago
186,Tunisia
187,Turkiye
188,Turkmenistan
189,Tuvalu
190,Uganda
191,Ukraine
192,United Arab Emirates
193,United Kingdom
194,United States
195,Uruguay
196,Uzbekistan
197,Vanuatu
198,"Venezuela, RB"
199,Viet Nam
200,Virgin Islands (U.S.)
201,"Yemen, Rep."
202,Zambia
203,Zimbabwe
